380				
0	0.16	0.04	11.6	7.5
0.1	0.35	0.07	14.6	8.2
0	0.19	0.03	14.8	8.5
0.11	0.42	0.07	17.9	15.4
0.08	0.24	0.07	22.3	17.5
0	0.07	0.022	12.2	17.8
0.05	0.14	0.024	16.8	20.4
0	0.76	0.04	21.6	20.6
0.802	0.33	0.04	11.8	21
0.09	0.48	0.026	12.2	22.4
0.88	0.34	0.03	23	22.8
0.1	0.52	0.04	14.9	23.5
0.006	0.24	0.024	12.5	23.7
0	0.21	0.07	11.6	23.8
0	0.03	0.022	14.8	24
1.444	0.53	0.05	12.5	24.5
1.42	0.42	0.05	12.3	25.3
0.15	0.39	0.03	11.9	26
0.95	0.51	0.07	13	26.6
0	0.19	0.05	11.9	27.4
0	0.18	0.04	21.1	28.6
1.576	0.27	0.05	11.8	29.2
0.485	0.87	0.03	12.2	29.5
1.08	0.26	0.05	11.1	29.7
0.15	0.23	0.04	11.1	29.8
0.88	0.22	0.07	11.1	29.9
0.1	0.24	0.026	16.8	30.3
0.02	0.16	0.026	18.3	30.4
0.77	0.2	0.05	12	30.9
0.13	0.24	0.05	18.5	31.9
0.11	0.24	0.07	12.2	32.2
0.36	0.3	0.03	23.5	32.4
0.3	0.18	0.03	21.7	32.4
0.39	0.06	0.05	11.1	33.9
0.1	0.049	0.022	15.2	33.9
0.12	0.3	0.05	16.8	34
0.07	0.22	0.024	14.3	34.1
0.48	0.54	0.05	10.7	34.2
0.3	0.34	0.05	12.1	34.8
0.14	0.16	0.03	11.9	35
0	0.06	0.07	16.8	36.1
0.19	0.64	0.05	18.8	36.9
0.75	0.19	0.04	22.1	36.9
0.1	0.15	0.07	15.2	37.7
0.2	0.37	0.07	15	37.7
0.33	0.45	0.05	14.9	37.7
0.1	0.22	0.05	11.7	37.8
0.27	0.3	0.07	11.1	38.1
0.01	0.14	0.026	15	38.3
0.33	0.33	0.05	16.8	38.3
0.586	0.39	0.05	13.9	38.4
0.01	0.13	0.026	13	38.4
0.69	0.61	0.07	12.4	39.2
0.02	0.13	0.04	17.1	39.3
0.06	0.27	0.04	21.5	39.6
